Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-app-intra2(18-11-2020);SRV-APP-INTRA2(18-11-2020);SRVP0120;Serveur Virtuel;Web ( portailélus …);Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.65;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;à rattacher à portail élus,…? Bruno Renier
srv-app-intrane (W2003);SRV-APP-INTRANE;SRVP0121;Serveur Virtuel;Web et petites applis;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.75;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;MSSQL;;
srv-prd-ligeo;SRV-PRD-LIGEO;SRVP0188;Serveur Virtuel;Serveur application LIGEO ?;Linux Debian 10 (64b);VLAN72 SI;172.16.21.12;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL104;LIGEO GESTION
srv-app-openedge;SRV-APP-OPENEDGE;SRVP0123;Serveur Virtuel;BDD open edge  ancien GRH ;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.130;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;JFB
srv-app-orphee;SRV-APP-ORPHEE;SRVP0124;Serveur Virtuel;application sarthe lecture gestion livres;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.29;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL122;ORPHEE.NET BDP
srv-app-sharep1;SRV-APP-SHAREP1;SRVP0126;Serveur Virtuel;sharepoint 2013 on premise;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.4;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL138;SHAREPOINT 2013
srv-app-sql;SRV-APP-SQL;SRVP0127;Serveur Virtuel;BDD Mutu  intrane ?;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.63;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;MSSQL;;
srv-app-sql02;SRV-APP-SQL02;SRVP0128;Serveur Virtuel;BDD Mutu Sharepoint + ???;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.5;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;MSSQL;;
srv-app-sql2008;SRV-APP-SQL2008;SRVP0129;Serveur Virtuel;BDD FOEDERIS;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.21;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;MSSQL;APPL067;FOEDERIS
srv-app-t2d;SRV-APP-T2D;SRVP0130;Serveur Virtuel;Serveur pour transfert de données SOLIS;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.61;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;à rattacher à SOLIS AST, ASG, RSA?
srv-app-tapa;SRV-APP-TAPA;SRVP0131;Serveur Virtuel; serveur applicatif gestion Tablettes APA;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.165;172.16.20.167;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL224;SOLIS MOBILITE?
srv-app-tse01(18-11-2020);SRV-APP-TSE01(18-11-2020);SRVP0134;Serveur Virtuel;TSE 2008 X86 Mutu;Microsoft Windows Server 2008 (32b);VLAN72 SI;172.16.20.145;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-app-tse02;SRV-APP-TSE02;SRVP0135;Serveur Virtuel;TSE 2012 X64 Mutu ( sig +..);Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.17;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-app-twebdev(23-11-2020);SRV-APP-TWEBDEV(23-11-2020);SRVP0136;Serveur Virtuel;Serveur Windev Web;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.137;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL183;WINDEV
;SRV-PRD-OMVLAN;SRVP0277;Serveur Virtuel;HMJ?;Linux Debian 10 (64b);VLAN72 SI;172.16.20.70;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;;PRD;ORACLE;;
